type,height,fragrance,needle.drop,xmas.magic
pine,5.5,5,25,4.5
pine,4.2,4,40,4.2
pine,6.1,6,35,5.8
pine,4.3,5,40,5
pine,5.0,3,30,2.7
pine,5.6,4,20,6.9
pine,7.1,4.5,25,5.1
pine,6.0,5,25,4.6
pine,6.6,5,30,6.1
pine,7.2,5.5,35,6
spruce,6.8,7,50,7.8
spruce,4.9,6,55,5.9
spruce,5.5,7.5,50,7.5
spruce,7.0,8,60,8.3
spruce,5.8,6,40,6.4
spruce,4.1,5,40,5.4
spruce,7.7,6,55,6.1
spruce,4.9,8,60,7.5
spruce,4.0,8,45,6.3
spruce,7.5,7,35,5.9
fir,6.4,10,80,9.8
fir,4.7,9,65,9.1
fir,6.3,10,70,9.2
fir,4.9,8,65,7.8
fir,7.0,9,75,8.7
fir,7.4,9,70,9.3
fir,4.5,10,75,9.9
fir,6.6,9.5,80,9.5
fir,7.2,9,75,8.3
fir,4.8,10,70,9.6
